|  instruction   |      outM      |       A        |       D        |
|0000000010110100|0000000000000000|0000000000000000|0000000000000000|
|0000000010110100|0000000010110100|0000000010110100|0000000000000000|
|1110110000010000|0000000010110100|0000000010110100|0000000000000000|
|1110110000010000|0000000010110100|0000000010110100|0000000010110100|
|0000000011001000|1111111010010111|0000000010110100|0000000010110100|
|0000000011001000|1111111010000011|0000000011001000|0000000010110100|
|1110000111010000|0000000000010100|0000000011001000|0000000010110100|
|1110000111010000|0000000010110100|0000000011001000|0000000000010100|
|0000000010111110|0000000011011100|0000000011001000|0000000000010100|
|0000000010111110|0000000011010010|0000000010111110|0000000000010100|
|1110001100001000|0000000000010100|0000000010111110|0000000000010100|
|1110001100001000|0000000000010100|0000000010111110|0000000000010100|
